Voltage_V,Capacitance_nF,InvC2_1_per_uF2,D2InvC2,SmoothedD2InvC2,Gauss_A,Gauss_x0,Gauss_sigma,Gauss_y0
101,10.5,9070.29478458,0,4.55689378208,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
102,10.5,9070.29478458,0,5.81792099222,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
103,10.5,9070.29478458,0,-0.487215058461,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
104,10.5,9070.29478458,0,-1.94886023385,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
105,10.5,9070.29478458,0,0,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
106,10.5,9070.29478458,0,0,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
107,10.5,9070.29478458,0,0,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
108,10.5,9070.29478458,0,0,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
109,10.5,9070.29478458,0,0,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
110,10.5,9070.29478458,0,0,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
111,10.5,9070.29478458,0,0,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
112,10.5,9070.29478458,0,0,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
113,10.5,9070.29478458,0,0,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
114,10.5,9070.29478458,0,0,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
115,10.5,9070.29478458,0,0,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
116,10.5,9070.29478458,0,0,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
117,10.5,9070.29478458,0,0,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
118,10.5,9070.29478458,0,0,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
119,10.5,9070.29478458,0,0,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
120,10.5,9070.29478458,0,0,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
121,10.5,9070.29478458,0,0,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
122,10.5,9070.29478458,0,0,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
123,10.5,9070.29478458,0,0,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
124,10.5,9070.29478458,0,0,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
125,10.5,9070.29478458,0,0,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
126,10.5,9070.29478458,0,2.00534720363,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
127,10.5,9070.29478458,0,0.501336800907,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
128,10.5,9070.29478458,0,-5.98655121083,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
129,10.5,9070.29478458,0,-4.68897360848,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
130,10.5,9070.29478458,0,2.3769262443,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
131,10.5,9070.29478458,0,6.68252465209,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
132,10.5,9070.29478458,0,8.65248337565,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
133,10.5,9070.29478458,0,8.71146417576,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
134,10.5,9070.29478458,0,7.28412881318,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
