Voltage_V,Capacitance_nF,InvC2_1_per_uF2,D1InvC2,SmoothedD1InvC2,Sigmoid_A,Sigmoid_x0,Sigmoid_k,Sigmoid_y0
48,168.5,35.220878937,0.710833060043,0.657789383302,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
49,166.8,35.9424690463,0.710591902952,0.652173989833,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
50,165.2,36.6420627429,0.709906789947,0.646975128709,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
51,163.6,37.3622826262,0.707443218477,0.641762559557,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
52,162.1,38.0569491799,0.704444185842,0.638636681371,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
53,160.6,38.7711709979,0.260904677829,0.635108735012,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
54,161,38.5787585356,0.219113198384,0.631972246624,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
55,159.7,39.2093973947,0.663619448449,0.633021087418,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
56,158.3,39.9059974324,0.705965091706,0.633887400783,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
57,156.9,40.6213275781,0.698464068188,0.635657745569,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
58,155.6,41.3029255688,0.690248070541,0.639147101733,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
59,154.3,42.0018237192,0.707843465321,0.642367022529,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
60,153,42.7186124995,0.697425700577,0.646253818633,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
61,151.8,43.3966751203,0.686199200798,0.65110399552,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
62,150.6,44.0910109011,0.702734823968,0.658816413366,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
63,149.4,44.8021447683,0.689114692615,0.667925288817,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
64,148.3,45.4692402863,0.674601056317,0.67720656278,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
65,147.2,46.1513468809,0.689839021228,0.686806342089,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
66,146.1,46.8489183287,0.705539401401,0.696905444665,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
67,145,47.5624256837,0.688195156613,0.709429793136,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
68,144,48.225308642,0.7040937705,0.723908222925,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
69,142.9,48.9706132247,0.718974817638,0.713076045573,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
70,141.9,49.6632582773,0.664333747788,0.694466927206,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
71,141,50.2992807203,0.678574943007,0.694106630546,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
72,140,51.0204081633,0.691742133147,0.693787736149,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
73,139.1,51.6827649866,0.668848069134,0.69160215823,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
74,138.2,52.3581043015,0.682001317579,0.68966476081,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
75,137.3,53.0467676217,0.695501731639,0.69091731079,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
76,136.4,53.7491077648,0.709360841301,0.68885862737,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
77,135.5,54.4654893043,0.682628649207,0.683654584227,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
78,134.7,55.1143650632,0.654708280782,0.681183724949,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
79,133.9,55.7749058659,0.666513971077,0.676801369416,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
80,133.1,56.4473930054,0.678605219545,0.667795981054,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
81,132.3,57.132116305,0.690990712682,0.656030454772,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
82,131.5,57.8293744307,0.658941613704,0.64435230239,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
83,130.8,58.4499995324,0.625647452988,0.630815607717,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
84,130.1,59.0806693367,0.635801124369,0.616757558264,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
85,129.4,59.7216017811,0.599320437539,0.599932237934,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
86,128.8,60.2793102118,0.561632855455,0.577222608332,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
87,128.2,60.844867492,0.569555691951,0.554383619323,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
88,127.6,61.4184215957,0.5776282541,0.529144289437,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
89,127,62.0001240002,0.536395288794,0.500260398772,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
90,126.5,62.4912121733,0.444085960943,0.469989798806,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
