Voltage_V,Capacitance_pF,InvC2_1_per_nF2,D1InvC2,SmoothedD1InvC2,Sigmoid_A,Sigmoid_x0,Sigmoid_k,Sigmoid_y0
174,24.4,1679.65600645,6.84174749816,0.991427259062,22.0951436181,72.8194535719,0.217103743375,0.259692184918
175,24.4,1679.65600645,0,0.977590172404,22.0951436181,72.8194535719,0.217103743375,0.259692184918
176,24.4,1679.65600645,0,0.949915999087,22.0951436181,72.8194535719,0.217103743375,0.259692184918
177,24.4,1679.65600645,0,0.908404739112,22.0951436181,72.8194535719,0.217103743375,0.259692184918
178,24.4,1679.65600645,0,0.85305639248,22.0951436181,72.8194535719,0.217103743375,0.259692184918
179,24.4,1679.65600645,0,0.783870959188,22.0951436181,72.8194535719,0.217103743375,0.259692184918
180,24.4,1679.65600645,0,0.700848439239,22.0951436181,72.8194535719,0.217103743375,0.259692184918
181,24.4,1679.65600645,0,0.603988832631,22.0951436181,72.8194535719,0.217103743375,0.259692184918
182,24.4,1679.65600645,0,0.493292139366,22.0951436181,72.8194535719,0.217103743375,0.259692184918
183,24.4,1679.65600645,0,0.368758359442,22.0951436181,72.8194535719,0.217103743375,0.259692184918
184,24.4,1679.65600645,0,0.230387492859,22.0951436181,72.8194535719,0.217103743375,0.259692184918
185,24.4,1679.65600645,0,0.078179539619,22.0951436181,72.8194535719,0.217103743375,0.259692184918
186,24.4,1679.65600645,0,-0.0878655002797,22.0951436181,72.8194535719,0.217103743375,0.259692184918
187,24.4,1679.65600645,0,-0.267747626837,22.0951436181,72.8194535719,0.217103743375,0.259692184918
188,24.4,1679.65600645,0,-0.461466840052,22.0951436181,72.8194535719,0.217103743375,0.259692184918
189,24.4,1679.65600645,0,-0.280892859162,22.0951436181,72.8194535719,0.217103743375,0.259692184918
190,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
191,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
192,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
193,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
194,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
195,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
196,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
197,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
198,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
199,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
200,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
201,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
202,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
203,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
204,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
205,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
206,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
207,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
208,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
209,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
210,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
211,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
212,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
213,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
214,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
215,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
216,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
217,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
218,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
219,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
220,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
221,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
222,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
223,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
224,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
225,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
226,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
227,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
228,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
229,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
230,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
231,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
232,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
233,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
234,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
235,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
236,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
237,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
238,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
239,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
240,24.4,1679.65600645,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
