Voltage_V,Capacitance_pF,InvC2_1_per_nF2,D1InvC2,SmoothedD1InvC2,Sigmoid_A,Sigmoid_x0,Sigmoid_k,Sigmoid_y0
87,23.9,1750.66963113,0,0.33998215535,31.4920005125,54.0074993885,0.229422626605,0.198947974901
88,23.9,1750.66963113,0,0.027658675244,31.4920005125,54.0074993885,0.229422626605,0.198947974901
89,23.9,1750.66963113,0,0.103871785089,31.4920005125,54.0074993885,0.229422626605,0.198947974901
90,23.9,1750.66963113,0,0.150455067791,31.4920005125,54.0074993885,0.229422626605,0.198947974901
91,23.9,1750.66963113,0,0.167408523352,31.4920005125,54.0074993885,0.229422626605,0.198947974901
92,23.9,1750.66963113,0,0.154732151771,31.4920005125,54.0074993885,0.229422626605,0.198947974901
93,23.9,1750.66963113,0,0.112425953048,31.4920005125,54.0074993885,0.229422626605,0.198947974901
94,23.9,1750.66963113,0,0.0404899271826,31.4920005125,54.0074993885,0.229422626605,0.198947974901
95,23.9,1750.66963113,0,0.351874308415,31.4920005125,54.0074993885,0.229422626605,0.198947974901
96,23.9,1750.66963113,0,0.755084813752,31.4920005125,54.0074993885,0.229422626605,0.198947974901
97,23.9,1750.66963113,0,0.844532175697,31.4920005125,54.0074993885,0.229422626605,0.198947974901
98,23.9,1750.66963113,0,0.919071643985,31.4920005125,54.0074993885,0.229422626605,0.198947974901
99,23.9,1750.66963113,0,0.978703218615,31.4920005125,54.0074993885,0.229422626605,0.198947974901
100,23.9,1750.66963113,0,1.02342689959,31.4920005125,54.0074993885,0.229422626605,0.198947974901
101,23.9,1750.66963113,0,1.0532426869,31.4920005125,54.0074993885,0.229422626605,0.198947974901
102,23.9,1750.66963113,7.37120801895,1.06815058056,31.4920005125,54.0074993885,0.229422626605,0.198947974901
103,23.8,1765.41204717,7.37120801895,1.06815058056,31.4920005125,54.0074993885,0.229422626605,0.198947974901
104,23.8,1765.41204717,0,1.0532426869,31.4920005125,54.0074993885,0.229422626605,0.198947974901
105,23.8,1765.41204717,0,1.02342689959,31.4920005125,54.0074993885,0.229422626605,0.198947974901
106,23.8,1765.41204717,0,0.978703218615,31.4920005125,54.0074993885,0.229422626605,0.198947974901
107,23.8,1765.41204717,0,0.919071643985,31.4920005125,54.0074993885,0.229422626605,0.198947974901
108,23.8,1765.41204717,0,0.844532175697,31.4920005125,54.0074993885,0.229422626605,0.198947974901
109,23.8,1765.41204717,0,0.755084813752,31.4920005125,54.0074993885,0.229422626605,0.198947974901
110,23.8,1765.41204717,0,0.65072955815,31.4920005125,54.0074993885,0.229422626605,0.198947974901
111,23.8,1765.41204717,0,0.53146640889,31.4920005125,54.0074993885,0.229422626605,0.198947974901
112,23.8,1765.41204717,0,0.397295365972,31.4920005125,54.0074993885,0.229422626605,0.198947974901
113,23.8,1765.41204717,0,0.248216429397,31.4920005125,54.0074993885,0.229422626605,0.198947974901
114,23.8,1765.41204717,0,0.0842295991649,31.4920005125,54.0074993885,0.229422626605,0.198947974901
115,23.8,1765.41204717,0,-0.0946651247251,31.4920005125,54.0074993885,0.229422626605,0.198947974901
116,23.8,1765.41204717,0,-0.288467742273,31.4920005125,54.0074993885,0.229422626605,0.198947974901
117,23.8,1765.41204717,0,-0.497178253478,31.4920005125,54.0074993885,0.229422626605,0.198947974901
118,23.8,1765.41204717,0,-0.302630241247,31.4920005125,54.0074993885,0.229422626605,0.198947974901
119,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
120,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
121,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
122,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
123,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
124,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
125,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
126,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
127,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
128,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
129,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
130,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
131,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
132,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
133,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
134,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
135,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
136,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
137,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
138,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
139,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
140,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
141,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
142,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
143,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
144,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
145,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
146,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
147,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
148,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
149,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
150,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
151,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
