Voltage_V,Capacitance_pF,InvC2_1_per_nF2,D1InvC2,SmoothedD1InvC2,Sigmoid_A,Sigmoid_x0,Sigmoid_k,Sigmoid_y0
236,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
237,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
238,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
239,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
240,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
241,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
242,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
243,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
244,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
245,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
246,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
247,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
248,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
249,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
250,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
251,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
252,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
253,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
254,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
255,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
256,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
257,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
258,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
259,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
260,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
261,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
262,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
263,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
264,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
265,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
266,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
267,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
268,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
269,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
270,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
271,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
272,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
273,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
274,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
